ClaimNum,CatastropheCode,RiskDescription, Claim Cost ,CurrencyDesc,LossDate
1339,2025 Feb flooding,Houseowners Combined,33001.62,PULA,2/19/2025
1340,2025 Feb flooding,Houseowners Combined,7980.00,PULA,2/19/2025
1341,2025 Feb flooding,Houseowners Combined,21293.50,PULA,2/20/2025
1342,2025 Feb flooding,Houseowners Combined,23432.00,PULA,2/19/2025
1343,2025 Feb flooding,Houseowners Combined,186075.28,PULA,2/19/2025
1344,2025 Feb flooding,Houseowners Combined,94237.23,PULA,2/20/2025
1345,2025 Feb flooding,Houseowners Combined,197868.00,PULA,2/19/2025
1346,2025 Feb flooding,House Contents,25982.00,PULA,2/19/2025
1348,2025 Feb flooding,Houseowners Combined,69554.91,PULA,2/19/2025
1349,2025 Feb flooding,Houseowners Combined,5200.00,PULA,2/19/2025
1351,2025 Feb flooding,Houseowners Combined,54282.34,PULA,2/19/2025
1352,2025 Feb flooding,Motor Specified Individual,11500.00,PULA,2/21/2025
1353,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1355,2025 Feb flooding,Houseowners Combined,47612.00,PULA,2/19/2025
1356,2025 Feb flooding,Houseowners Combined,7925.00,PULA,2/19/2025
1357,2025 Feb flooding,Houseowners Combined,49225.73,PULA,2/20/2025
1358,2025 Feb flooding,Houseowners Combined,84122.50,PULA,2/19/2025
1359,2025 Feb flooding,Houseowners Combined,41368.62,PULA,2/19/2025
1360,2025 Feb flooding,Houseowners Combined,13325.00,PULA,2/20/2025
1361,2025 Feb flooding,Houseowners Combined,24831.00,PULA,2/19/2025
1362,2025 Feb flooding,Houseowners Combined,7755.44,PULA,2/21/2025
1364,2025 Feb flooding,Houseowners Combined,17465.56,PULA,2/19/2025
1365,2025 Feb flooding,Houseowners Combined,48497.30,PULA,2/19/2025
1367,2025 Feb flooding,Houseowners Combined,11350.00,PULA,2/19/2025
1369,2025 Feb flooding,Houseowners Combined,32512.94,PULA,2/19/2025
1371,2025 Feb flooding,Houseowners Combined,7753.30,PULA,2/19/2025
1372,2025 Feb flooding,House Contents,15432.61,PULA,2/19/2025
1373,2025 Feb flooding,Motor Specified Individual,389600.54,PULA,2/19/2025
1374,2025 Feb flooding,Houseowners Combined,8181.00,PULA,2/19/2025
1375,2025 Feb flooding,Houseowners Combined,16126.51,PULA,2/20/2025
1377,2025 Feb flooding,Houseowners Combined,8801.80,PULA,2/19/2025
1378,2025 Feb flooding,Houseowners Combined,13334.20,PULA,2/19/2025
