Scenario,q_estimate,inverted_rain_std_Scenario_Value
Baseline (Static),0.7130796115415309,-0.03761971081835676
Average Climate,3.9943396548986527,-0.03761971081835676
50th Percentile,4.294091340411814,-0.11651628223877616
95th Percentile (Adverse),0.6417716503873778,1.9559013555189713
99th Percentile (Extreme),0.5704636892332248,2.084321195233627
