date,precipitation_mm,rainfall_mm,temp_max,temp_min,rainfall_7day,rainfall_30day,SSI
2021-09-19 00:00:00+00:00,0.0,0.0,24.4455,9.5455,0.0,3.3000000417232513,0.011000000139077504
2021-09-20 00:00:00+00:00,0.0,0.0,28.1955,14.195499,0.0,3.0000000298023224,0.010000000099341074
2021-09-21 00:00:00+00:00,0.0,0.0,26.1455,9.5455,0.0,3.0000000298023224,0.010000000099341074
2021-09-22 00:00:00+00:00,0.0,0.0,23.2955,11.445499,0.0,3.0000000298023224,0.010000000099341074
2021-09-23 00:00:00+00:00,0.0,0.0,24.4955,10.1455,0.0,3.0000000298023224,0.010000000099341074
2021-09-24 00:00:00+00:00,0.0,0.0,29.2955,12.8455,0.0,3.0000000298023224,0.010000000099341074
2021-09-25 00:00:00+00:00,0.0,0.0,30.2955,14.3955,0.0,2.0000000298023224,0.0066666667660077415
2021-09-26 00:00:00+00:00,0.0,0.0,31.6455,15.695499,0.0,1.9000000283122063,0.006333333427707354
2021-09-27 00:00:00+00:00,0.0,0.0,29.0455,17.2455,0.0,1.6000000163912773,0.0053333333879709245
2021-09-28 00:00:00+00:00,0.0,0.0,30.8955,16.595499,0.0,1.6000000163912773,0.0053333333879709245
2021-09-29 00:00:00+00:00,0.8,0.8,30.2955,17.4955,0.800000011920929,2.4000000283122063,0.008000000094374021
2021-09-30 00:00:00+00:00,0.6,0.6,26.2455,16.1955,1.4000000357627869,3.000000052154064,0.01000000017384688
2021-10-01 00:00:00+00:00,11.799998,11.799998,24.3955,14.195499,13.199998319149017,14.799998335540295,0.049333327785134315
2021-10-02 00:00:00+00:00,0.1,0.1,24.3955,10.5455,13.299998320639133,14.89999833703041,0.0496666611234347
2021-10-03 00:00:00+00:00,0.0,0.0,23.2955,8.5455,13.299998320639133,14.89999833703041,0.0496666611234347
2021-10-04 00:00:00+00:00,0.0,0.0,24.2955,7.1955,13.299998320639133,14.699998334050179,0.04899999444683393
2021-10-05 00:00:00+00:00,0.0,0.0,25.2955,11.2955,13.299998320639133,14.699998334050179,0.04899999444683393
2021-10-06 00:00:00+00:00,0.2,0.2,28.345499,14.0955,12.699998311698437,14.799998335540295,0.049333327785134315
2021-10-07 00:00:00+00:00,0.5,0.5,28.6955,15.2455,12.599998287856579,14.299998335540295,0.04766666111846765
2021-10-08 00:00:00+00:00,2.2,2.2,26.4955,14.695499,3.000000052154064,16.19999837130308,0.05399999457101027
2021-10-09 00:00:00+00:00,0.0,0.0,28.3955,13.0455,2.900000050663948,16.19999837130308,0.05399999457101027
2021-10-10 00:00:00+00:00,0.0,0.0,27.3955,11.5955,2.900000050663948,16.19999837130308,0.05399999457101027
2021-10-11 00:00:00+00:00,0.0,0.0,22.8955,10.3955,2.900000050663948,16.19999837130308,0.05399999457101027
2021-10-12 00:00:00+00:00,0.0,0.0,26.5455,9.2955,2.900000050663948,16.19999837130308,0.05399999457101027
2021-10-13 00:00:00+00:00,0.0,0.0,30.2455,9.9955,2.700000047683716,16.19999837130308,0.05399999457101027
2021-10-14 00:00:00+00:00,0.0,0.0,32.495502,14.945499,2.200000047683716,16.19999837130308,0.05399999457101027
2021-10-15 00:00:00+00:00,0.0,0.0,33.0955,15.2955,0.0,16.19999837130308,0.05399999457101027
2021-10-16 00:00:00+00:00,0.0,0.0,31.4955,14.445499,0.0,16.19999837130308,0.05399999457101027
2021-10-17 00:00:00+00:00,0.0,0.0,24.6955,10.0455,0.0,16.19999837130308,0.05399999457101027
2021-10-18 00:00:00+00:00,0.0,0.0,25.0455,8.8455,0.0,16.19999837130308,0.05399999457101027
2021-10-19 00:00:00+00:00,0.1,0.1,21.6455,10.9955,0.10000000149011612,16.299998372793198,0.05433332790931066
2021-10-20 00:00:00+00:00,0.0,0.0,23.6455,8.5955,0.10000000149011612,16.299998372793198,0.05433332790931066
2021-10-21 00:00:00+00:00,0.4,0.4,25.6955,11.8955,0.5000000074505806,16.699998378753662,0.055666661262512206
2021-10-22 00:00:00+00:00,5.5999994,5.5999994,25.4455,11.1455,6.099999435245991,22.299997806549072,0.07433332602183024
2021-10-23 00:00:00+00:00,0.0,0.0,29.6455,8.3455,6.099999435245991,22.299997806549072,0.07433332602183024
2021-10-24 00:00:00+00:00,0.0,0.0,27.5455,9.7455,6.099999435245991,22.299997806549072,0.07433332602183024
2021-10-25 00:00:00+00:00,7.3999996,7.3999996,25.9955,12.8455,13.499999053776264,29.699997425079346,0.09899999141693115
2021-10-26 00:00:00+00:00,0.0,0.0,24.9455,12.945499,13.399999052286148,29.699997425079346,0.09899999141693115
2021-10-27 00:00:00+00:00,0.6,0.6,24.7455,15.2455,13.999999076128006,30.299997448921204,0.10099999149640401
2021-10-28 00:00:00+00:00,4.3999996,4.3999996,20.1955,13.7455,17.999998688697815,34.69999706745148,0.11566665689150492
2021-10-29 00:00:00+00:00,1.3000001,1.3000001,25.5455,13.6455,13.699999332427979,35.19999712705612,0.11733332375685374
2021-10-30 00:00:00+00:00,0.0,0.0,25.345499,12.195499,13.699999332427979,34.599997103214264,0.11533332367738088
2021-10-31 00:00:00+00:00,0.0,0.0,27.7455,10.7955,13.699999332427979,22.799998819828033,0.07599999606609345
2021-11-01 00:00:00+00:00,0.0,0.0,31.7955,12.7455,6.299999713897705,22.699998818337917,0.07566666272779306
2021-11-02 00:00:00+00:00,0.0,0.0,29.0455,11.7455,6.299999713897705,22.699998818337917,0.07566666272779306
2021-11-03 00:00:00+00:00,0.0,0.0,31.5455,10.195499,5.699999690055847,22.699998818337917,0.07566666272779306
2021-11-04 00:00:00+00:00,2.6,2.6,32.445503,15.7955,3.899999976158142,25.299998722970486,0.08433332907656829
2021-11-05 00:00:00+00:00,0.0,0.0,33.195503,18.1955,2.5999999046325684,25.099998719990253,0.0836666623999675
2021-11-06 00:00:00+00:00,1.5,1.5,35.2955,16.7955,4.099999904632568,26.099998719990253,0.08699999573330085
2021-11-07 00:00:00+00:00,2.1,2.1,32.8455,18.7955,6.199999809265137,25.999998576939106,0.08666666192313036
2021-11-08 00:00:00+00:00,2.0,2.0,24.8955,13.2455,8.199999809265137,27.999998576939106,0.09333332858979702
2021-11-09 00:00:00+00:00,0.0,0.0,26.9955,10.3455,8.199999809265137,27.999998576939106,0.09333332858979702
2021-11-10 00:00:00+00:00,0.0,0.0,30.6455,13.0955,8.199999809265137,27.999998576939106,0.09333332858979702
2021-11-11 00:00:00+00:00,0.0,0.0,31.4955,15.7455,5.599999904632568,27.999998576939106,0.09333332858979702
2021-11-12 00:00:00+00:00,0.0,0.0,34.195503,17.8955,5.599999904632568,27.999998576939106,0.09333332858979702
2021-11-13 00:00:00+00:00,0.0,0.0,35.0955,17.095499,4.099999904632568,27.999998576939106,0.09333332858979702
2021-11-14 00:00:00+00:00,0.0,0.0,34.8455,18.4455,2.0,27.999998576939106,0.09333332858979702
2021-11-15 00:00:00+00:00,0.0,0.0,34.3455,19.8955,0.0,27.999998576939106,0.09333332858979702
2021-11-16 00:00:00+00:00,0.0,0.0,35.8955,18.6955,0.0,27.999998576939106,0.09333332858979702
2021-11-17 00:00:00+00:00,0.0,0.0,36.6455,19.6455,0.0,27.999998576939106,0.09333332858979702
2021-11-18 00:00:00+00:00,0.0,0.0,32.5455,17.6955,0.0,27.89999857544899,0.09299999525149663
2021-11-19 00:00:00+00:00,0.0,0.0,32.745502,12.7955,0.0,27.89999857544899,0.09299999525149663
2021-11-20 00:00:00+00:00,0.2,0.2,30.7955,16.7955,0.20000000298023224,27.699998572468758,0.09233332857489586
2021-11-21 00:00:00+00:00,1.6000001,1.6000001,24.5455,15.8955,1.8000001460313797,23.699999287724495,0.07899999762574832
2021-11-22 00:00:00+00:00,2.1000001,2.1000001,26.2455,14.7455,3.900000289082527,25.799999430775642,0.08599999810258548
2021-11-23 00:00:00+00:00,0.0,0.0,25.595499,11.695499,3.900000289082527,25.799999430775642,0.08599999810258548
2021-11-24 00:00:00+00:00,0.0,0.0,27.8955,13.445499,3.900000289082527,18.39999981224537,0.06133333270748456
2021-11-25 00:00:00+00:00,22.300001,22.300001,26.1455,14.195499,26.200001433491707,40.70000095665455,0.13566666985551515
2021-11-26 00:00:00+00:00,0.6,0.6,20.2455,12.8955,26.800001457333565,40.70000095665455,0.13566666985551515
2021-11-27 00:00:00+00:00,10.300001,10.300001,22.7455,12.8955,36.90000259876251,46.600002482533455,0.15533334160844484
2021-11-28 00:00:00+00:00,0.4,0.4,26.595499,13.3955,35.70000246167183,45.700002416968346,0.1523333413898945
2021-11-29 00:00:00+00:00,0.1,0.1,30.2455,14.3955,33.7000023201108,45.80000241845846,0.15266667472819487
2021-11-30 00:00:00+00:00,0.0,0.0,30.6455,15.5455,33.7000023201108,45.80000241845846,0.15266667472819487
2021-12-01 00:00:00+00:00,2.8999999,2.8999999,31.345499,17.1955,36.60000217705965,48.700002275407314,0.16233334091802437
2021-12-02 00:00:00+00:00,6.5,6.5,26.9955,16.095499,20.80000103265047,55.200002275407314,0.18400000758469104
2021-12-03 00:00:00+00:00,2.4999998,2.4999998,31.1455,16.4955,22.700000770390034,57.700002036988735,0.19233334012329578
2021-12-04 00:00:00+00:00,24.1,24.1,29.595499,16.9955,36.50000000745058,79.2000025138259,0.26400000837941967
2021-12-05 00:00:00+00:00,26.0,26.0,22.1955,14.7955,62.100000001490116,105.2000025138259,0.3506666750460863
2021-12-06 00:00:00+00:00,1.4,1.4,25.595499,14.4955,63.39999997615814,105.10000248998404,0.3503333416332801
2021-12-07 00:00:00+00:00,0.0,0.0,27.595499,15.7455,63.39999997615814,103.00000258535147,0.34333334195117154
2021-12-08 00:00:00+00:00,1.2,1.2,26.2955,16.1955,61.700000166893005,102.20000263303518,0.3406666754434506
2021-12-09 00:00:00+00:00,0.0,0.0,25.9955,15.1455,55.200000166893005,102.20000263303518,0.3406666754434506
2021-12-10 00:00:00+00:00,0.2,0.2,28.595499,16.6955,52.90000040829182,102.40000263601542,0.3413333421200514
2021-12-11 00:00:00+00:00,0.0,0.0,28.6455,17.845499,28.80000002682209,102.40000263601542,0.3413333421200514
2021-12-12 00:00:00+00:00,3.7999997,3.7999997,27.4955,16.7455,6.599999740719795,106.20000234991312,0.35400000783304375
2021-12-13 00:00:00+00:00,1.1,1.1,24.3955,16.1955,6.299999788403511,107.30000237375498,0.3576666745791833
2021-12-14 00:00:00+00:00,0.1,0.1,27.9955,14.695499,6.399999789893627,107.4000023752451,0.35800000791748365
2021-12-15 00:00:00+00:00,3.3,3.3,28.6955,17.2955,8.499999694526196,110.70000232756138,0.3690000077585379
2021-12-16 00:00:00+00:00,3.7,3.7,25.845499,16.1955,12.199999742209911,114.4000023752451,0.38133334125081697
2021-12-17 00:00:00+00:00,3.7,3.7,26.1455,14.7455,15.699999786913395,118.10000242292881,0.393666674743096
2021-12-18 00:00:00+00:00,8.3,8.3,18.5455,12.9955,23.999999977648258,126.40000261366367,0.42133334204554557
2021-12-19 00:00:00+00:00,1.0,1.0,19.3955,11.8955,21.200000263750553,127.40000261366367,0.4246666753788789
2021-12-20 00:00:00+00:00,0.0,0.0,24.595499,12.2955,20.100000239908695,127.20000261068344,0.42400000870227816
2021-12-21 00:00:00+00:00,0.8,0.8,25.1455,13.0455,20.800000250339508,126.40000247955322,0.42133334159851077
2021-12-22 00:00:00+00:00,4.1000004,4.1000004,26.2955,15.4955,21.60000067949295,128.4000027179718,0.428000009059906
2021-12-23 00:00:00+00:00,5.4,5.4,27.6455,14.5955,23.300000727176666,133.80000281333923,0.44600000937779744
2021-12-24 00:00:00+00:00,0.0,0.0,27.845499,12.0455,19.60000067949295,133.80000281333923,0.44600000937779744
2021-12-25 00:00:00+00:00,2.7,2.7,28.1455,15.1455,14.000000536441803,114.20000171661377,0.38066667238871255
2021-12-26 00:00:00+00:00,11.299999,11.299999,24.5455,14.9955,24.29999977350235,124.90000092983246,0.41633333643277487
2021-12-27 00:00:00+00:00,20.6,20.6,22.6455,13.195499,44.900000154972076,135.200000166893,0.45066666722297666
2021-12-28 00:00:00+00:00,0.0,0.0,25.595499,10.9955,44.10000014305115,134.80000016093254,0.44933333386977514
2021-12-29 00:00:00+00:00,0.1,0.1,28.6955,12.945499,40.09999976307154,134.80000016093254,0.44933333386977514
2021-12-30 00:00:00+00:00,2.0,2.0,29.595499,17.0455,36.699999667704105,136.80000016093254,0.4560000005364418
2021-12-31 00:00:00+00:00,0.0,0.0,31.9955,18.845499,36.699999667704105,133.9000003039837,0.4463333343466123
2022-01-01 00:00:00+00:00,0.1,0.1,29.0455,16.1455,34.099999621510506,127.5000003054738,0.42500000101824603
2022-01-02 00:00:00+00:00,0.0,0.0,30.6955,16.5455,22.80000038444996,125.00000054389238,0.4166666684796413
2022-01-03 00:00:00+00:00,3.3999996,3.3999996,29.1455,15.1455,5.599999621510506,104.29999978095293,0.34766666593650974
2022-01-04 00:00:00+00:00,1.0,1.0,28.2955,16.7455,6.599999621510506,79.29999978095293,0.26433333260317643
2022-01-05 00:00:00+00:00,0.0,0.0,28.5455,17.5455,6.49999962002039,77.89999980479479,0.25966666601598265
2022-01-06 00:00:00+00:00,3.7,3.7,25.595499,17.4955,8.199999667704105,81.5999998524785,0.2719999995082617
2022-01-07 00:00:00+00:00,5.6,5.6,25.3955,16.4455,13.799999572336674,85.99999970942736,0.2866666656980912
2022-01-08 00:00:00+00:00,5.6,5.6,25.7455,16.1955,19.299999475479126,91.59999961405993,0.3053333320468664
2022-01-09 00:00:00+00:00,0.2,0.2,25.3955,16.1955,19.499999478459358,91.59999961405993,0.3053333320468664
2022-01-10 00:00:00+00:00,0.0,0.0,25.4455,15.4955,16.099999859929085,91.59999961405993,0.3053333320468664
2022-01-11 00:00:00+00:00,8.1,8.1,26.4955,16.7455,23.20000024139881,95.90000028163195,0.3196666676054398
2022-01-12 00:00:00+00:00,4.2,4.2,27.1955,16.2955,27.400000050663948,99.00000006705523,0.33000000022351744
2022-01-13 00:00:00+00:00,2.3,2.3,26.8955,16.4955,25.999999955296516,101.2000000178814,0.337333333392938
2022-01-14 00:00:00+00:00,0.5,0.5,26.9455,16.845499,20.900000050663948,98.40000006556511,0.32800000021855036
2022-01-15 00:00:00+00:00,3.1999996,3.1999996,26.1955,16.1955,18.499999716877937,97.89999958872795,0.3263333319624265
2022-01-16 00:00:00+00:00,3.5,3.5,24.6455,15.695499,21.799999713897705,97.69999954104424,0.32566666513681414
2022-01-17 00:00:00+00:00,4.0,4.0,26.3955,15.4955,25.799999713897705,93.39999935030937,0.3113333311676979
2022-01-18 00:00:00+00:00,2.2,2.2,24.845499,16.7455,19.899999380111694,94.59999939799309,0.31533333132664365
2022-01-19 00:00:00+00:00,3.1999998,3.1999998,26.845499,15.2955,18.899999380111694,97.79999920725822,0.32599999735752744
2022-01-20 00:00:00+00:00,0.1,0.1,26.6455,16.1455,16.699999429285526,97.09999919682741,0.32366666398942473
2022-01-21 00:00:00+00:00,0.1,0.1,28.7455,16.595499,16.299999430775642,93.0999988168478,0.31033332938949265
2022-01-22 00:00:00+00:00,0.0,0.0,25.595499,14.0455,13.099999859929085,87.69999872148037,0.29233332907160126
2022-01-23 00:00:00+00:00,0.1,0.1,25.1955,14.2455,9.699999861419201,87.79999872297049,0.29266666240990163
2022-01-24 00:00:00+00:00,0.3,0.3,26.7455,13.8455,5.99999987334013,85.3999986872077,0.2846666622906923
2022-01-25 00:00:00+00:00,0.0,0.0,29.2955,16.7955,3.799999825656414,74.09999945014715,0.24699999816715718
2022-01-26 00:00:00+00:00,0.0,0.0,30.1455,17.9455,0.6000000163912773,53.499999068677425,0.17833333022892475
2022-01-27 00:00:00+00:00,0.0,0.0,27.345499,18.1955,0.5000000149011612,53.499999068677425,0.17833333022892475
2022-01-28 00:00:00+00:00,19.5,19.5,28.6455,18.5455,19.900000013411045,72.89999906718731,0.24299999689062438
2022-01-29 00:00:00+00:00,3.2,3.2,27.6455,16.1455,23.10000006109476,74.09999911487103,0.2469999970495701
2022-01-30 00:00:00+00:00,2.6,2.6,21.5455,17.0455,25.599999964237213,76.6999990195036,0.2556666633983453
