Scenario,q_parameter,Pure_Premium,Mean_Loss,Std_Loss,Skewness,VaR_95,VaR_99,TVaR_95,TVaR_99
Baseline,1.5519519316953903,1122839.6216905771,1122669.5361527028,492756.14846643544,0.6908638312798066,2023070.818070818,2688882.7838827837,2316611.9418830383,2939807.55469485
Adverse Climate,2.32037369846779,362091.2156884263,362090.9553424241,215570.73941938567,1.2074485856812334,780995.115995116,1144871.7948717948,937922.0973246255,1282420.7366707367
