ClaimNum,CatastropheCode,RiskDescription,loss_amount,CurrencyDesc,LossDate,Year,Annual_mean_max_C,Annual_total_mm,temp_std,rain_std,SSI
1272.0,2025 Feb flooding,Houseowners Combined,39010.97,PULA,2025-02-19,2025,28.0,509.4,-0.5961773249363164,0.3091413382971377,0.047340668383272944
1273.0,2025 Feb flooding,Houseowners Combined,13450.0,PULA,2025-02-21,2025,29.1,357.3,0.7591324604189199,-0.5576714139654902,1.1584019371922052
1275.0,2025 Feb flooding,Houseowners Combined,90208.92,PULA,2025-02-19,2025,29.1,544.5,0.7591324604189199,0.5091750503577444,0.6249787050305877
1277.0,2025 Feb flooding,Houseowners Combined,62047.43,PULA,2025-02-19,2025,27.1,539.4,-1.70506714931787,0.48011032296432277,-0.5925887361410964
1279.0,2025 Feb flooding,Houseowners Combined,50917.26,PULA,2025-02-19,2025,29.8,338.7,1.6216023238267956,-0.663672184459145,1.6426372541429703
1280.0,2025 Feb flooding,Houseowners Combined,8144.75,PULA,2025-02-20,2025,29.8,338.7,1.6216023238267956,-0.663672184459145,1.6426372541429703
1281.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-20,2025,29.8,267.9,1.6216023238267956,-1.0671589882737018,1.844380656050249
1283.0,2025 Feb flooding,Houseowners Combined,113838.08,PULA,2025-02-20,2025,29.3,361.4,1.005552421392598,-0.5343056527276417,1.2699290370601197
1284.0,2025 Feb flooding,Houseowners Combined,77476.1,PULA,2025-02-20,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1285.0,2025 Feb flooding,Houseowners Combined,14413.2,PULA,2025-02-20,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1286.0,2025 Feb flooding,Houseowners Combined,77303.0,PULA,2025-02-19,2025,28.1,600.1,-0.4729673444494751,0.826037568607594,-0.14950245652853456
1287.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,27.4,810.4,-1.335437207857355,2.024530151124561,-1.179983679490958
1289.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,28.6,540.7,0.14308255798472239,0.4875189789665678,0.32778178950907727
1290.0,2025 Feb flooding,Houseowners Combined,155389.87,PULA,2025-02-19,2025,28.6,540.7,0.14308255798472239,0.4875189789665678,0.32778178950907727
1292.0,2025 Feb flooding,Private Motor,156498.95,PULA,2025-02-19,2025,27.4,810.4,-1.335437207857355,2.024530151124561,-1.179983679490958
1293.0,2025 Feb flooding,Private Motor,350000.0,PULA,2025-02-20,2025,28.6,540.7,0.14308255798472239,0.4875189789665678,0.32778178950907727
1294.0,2025 Feb flooding,Houseowners Combined,39916.05,PULA,2025-02-19,2025,28.7,262.0,0.26629253847155926,-1.1007828885915814,1.1835377135315703
1296.0,2025 Feb flooding,Houseowners Combined,13695.0,PULA,2025-02-19,2025,29.1,357.3,0.7591324604189199,-0.5576714139654902,1.1584019371922052
1301.0,2025 Feb flooding,Houseowners Combined,23591.0,PULA,2025-02-19,2025,29.9,414.7,1.7448123043136323,-0.23055075663560964,1.487681530474621
1302.0,2025 Feb flooding,Houseowners Combined,8589.45,PULA,2025-02-19,2025,28.6,301.5,0.14308255798472239,-0.8756737254464544,1.0093781417155885
1303.0,2025 Feb flooding,Houseowners Combined,125265.0,PULA,2025-02-19,2025,29.1,544.5,0.7591324604189199,0.5091750503577444,0.6249787050305877
1304.0,2025 Feb flooding,Houseowners Combined,42670.9,PULA,2025-02-19,2025,27.9,636.8,-0.7193873054231575,1.0351896265171168,-0.37728846597013715
1305.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,29.2,454.7,0.8823424409057568,-0.002592110412696265,0.9424672756592265
1306.0,2025 Feb flooding,Houseowners Combined,5436.8,PULA,2025-02-19,2025,28.7,262.0,0.26629253847155926,-1.1007828885915814,1.1835377135315703
1308.0,2025 Feb flooding,Motor Specified Individual,141030.83,PULA,2025-02-21,2025,26.8,853.1,-2.0746970907783893,2.267876005967521,-1.671286548372955
1309.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,28.2,336.8,-0.34975736396263823,-0.6745002201547333,0.6623714280960475
1310.0,2025 Feb flooding,Houseowners Combined,10518.0,PULA,2025-02-19,2025,27.8,639.6,-0.8425972859099945,1.051146731752721,-0.44687200883135775
1311.0,2025 Feb flooding,Houseowners Combined,40212.0,PULA,2025-02-19,2025,26.8,853.1,-2.0746970907783893,2.267876005967521,-1.671286548372955
1312.0,2025 Feb flooding,Houseowners Combined,22745.0,PULA,2025-02-19,2025,27.8,300.9,-0.8425972859099945,-0.8790931051397982,0.518247909614902
1313.0,2025 Feb flooding,Houseowners Combined,525382.59,PULA,2025-02-20,2025,27.6,731.1,-1.0890172468836725,1.5726021349876353,-0.8308096909356539
1315.0,2025 Feb flooding,Houseowners Combined,17135.0,PULA,2025-02-19,2025,29.1,544.5,0.7591324604189199,0.5091750503577444,0.6249787050305877
1316.0,2025 Feb flooding,Accident Classes,350000.0,PULA,2025-02-19,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1318.0,2025 Feb flooding,Private Motor,247765.01,PULA,2025-02-20,2025,29.1,209.8,0.7591324604189199,-1.3982689219124833,1.5787006911657016
1319.0,2025 Feb flooding,Houseowners Combined,8531.47,PULA,2025-02-19,2025,27.8,300.9,-0.8425972859099945,-0.8790931051397982,0.518247909614902
